id,name,region,type,area_sq_km,damage_percent,type_of_damage,new_type,budget_million_usd,success_rate_percent,recovery_priority,duration,funding_source
1835,Location 1835,5,4,20.69,81.1,1,1,231.76,60.8,2,5,1
1836,Location 1836,13,2,29.31,69.2,2,3,441.79,88.6,3,293,1
1837,Location 1837,17,1,16.09,55.1,7,1,216.38,72.9,1,360,4
1838,Location 1838,18,4,24.38,86.6,6,5,421.39,85.2,1,598,5
1839,Location 1839,8,4,39.86,57.2,5,5,299.22,77.8,3,214,2
1840,Location 1840,13,1,49.08,85.7,2,4,104.02,56.5,1,406,1
1841,Location 1841,19,4,46.69,51.4,4,4,294.74,83.3,1,436,5
1842,Location 1842,26,2,46.76,35.1,6,2,257.93,73.5,3,15,1
1843,Location 1843,3,4,20.71,95.3,4,4,205.33,59.2,3,273,4
1844,Location 1844,24,3,23.97,57.6,1,5,68.62,64.5,2,563,4
1845,Location 1845,8,5,35.58,85.5,4,4,214.19,59.5,3,45,2
1846,Location 1846,2,2,46.19,49.5,6,1,45.65,54.8,3,634,4
1847,Location 1847,8,3,7.96,75.2,6,2,58.4,52.4,1,412,5
1848,Location 1848,13,1,15.91,91.1,2,2,213.8,57.9,3,187,6
1849,Location 1849,13,2,7.82,32.9,3,5,159.64,87.4,1,661,4
1850,Location 1850,1,5,30.99,88.1,2,4,463.52,79.5,3,170,6
1851,Location 1851,6,5,16.01,70.0,1,1,194.1,68.0,3,594,2
1852,Location 1852,24,1,16.98,72.5,4,4,381.35,86.7,2,401,3
1853,Location 1853,19,1,4.47,66.6,3,3,269.82,73.9,3,246,1
1854,Location 1854,16,2,18.14,91.2,7,4,355.0,72.1,3,552,1
1855,Location 1855,8,4,43.26,33.0,5,5,137.46,76.6,1,680,5
1856,Location 1856,1,1,12.42,48.3,6,4,471.53,92.8,1,43,2
1857,Location 1857,16,4,35.06,91.3,3,2,269.74,64.9,2,179,2
1858,Location 1858,9,3,31.85,82.7,7,1,417.35,81.9,3,457,2
1859,Location 1859,13,5,43.31,31.2,3,5,188.87,86.7,1,535,1
1860,Location 1860,11,4,7.48,66.2,2,3,59.1,56.8,3,607,4
1861,Location 1861,13,5,48.9,67.1,7,1,340.12,80.3,2,672,1
1862,Location 1862,25,4,29.55,58.1,5,1,13.8,53.8,1,244,1
1863,Location 1863,21,3,49.78,50.8,6,2,242.89,67.7,1,17,1
1864,Location 1864,10,1,45.66,77.7,1,2,104.47,50.0,2,112,4
1865,Location 1865,4,3,11.85,44.5,1,2,317.41,89.9,3,615,3
1866,Location 1866,6,1,3.75,85.9,3,5,489.92,93.6,1,598,5
1867,Location 1867,7,1,13.53,86.2,7,4,237.56,68.7,1,547,3
1868,Location 1868,5,5,26.85,59.1,3,1,410.57,83.9,2,30,3
1869,Location 1869,11,3,9.41,49.8,4,4,258.81,75.9,2,192,1
1870,Location 1870,13,4,9.21,49.9,5,4,252.96,85.9,2,437,3
1871,Location 1871,26,3,23.67,63.8,6,2,465.91,84.8,3,179,1
1872,Location 1872,25,5,2.63,80.4,3,4,446.08,87.4,3,616,1
1873,Location 1873,19,1,6.97,55.1,4,1,395.04,92.9,3,677,5
1874,Location 1874,23,5,21.38,72.7,7,1,155.17,61.9,2,474,2
1875,Location 1875,10,2,4.09,56.8,5,3,277.05,83.9,1,634,1
1876,Location 1876,10,2,20.44,51.3,6,5,119.71,54.9,3,134,3
1877,Location 1877,11,4,24.23,31.7,1,4,227.52,82.9,2,312,5
1878,Location 1878,21,5,23.11,30.3,4,5,247.26,79.0,3,25,6
1879,Location 1879,7,4,43.59,45.9,7,5,417.5,89.2,1,371,6
1880,Location 1880,18,4,26.97,58.4,5,5,449.05,95.0,1,525,6
1881,Location 1881,4,2,23.93,89.6,4,5,213.16,65.2,2,319,3
1882,Location 1882,2,4,21.12,85.9,3,1,18.68,50.0,1,230,2
1883,Location 1883,14,2,41.06,48.7,2,4,432.27,90.9,2,102,4
1884,Location 1884,13,1,44.86,47.1,1,3,95.4,64.4,2,450,2
1885,Location 1885,12,5,42.81,45.9,3,5,314.72,85.8,2,378,5
1886,Location 1886,7,4,34.0,53.7,3,3,22.24,54.2,2,203,2
1887,Location 1887,2,2,7.73,64.9,7,1,205.76,65.8,1,267,6
1888,Location 1888,13,3,14.57,60.7,7,1,493.12,95.0,1,462,2
1889,Location 1889,14,4,3.26,45.3,5,2,59.34,65.4,1,365,5
1890,Location 1890,17,1,46.61,39.1,7,5,217.61,68.9,1,104,5
1891,Location 1891,9,1,33.38,30.9,4,2,160.5,72.1,2,111,6
1892,Location 1892,17,3,37.57,40.8,1,3,453.49,95.0,2,428,3
1893,Location 1893,8,2,16.27,79.4,3,4,435.98,92.7,1,469,1
1894,Location 1894,2,4,42.44,47.1,5,2,126.47,66.1,3,581,4
1895,Location 1895,24,2,13.72,62.8,1,1,49.78,61.0,3,680,4
1896,Location 1896,13,1,1.08,71.4,7,5,317.3,74.4,3,561,6
1897,Location 1897,3,2,19.44,92.1,7,3,174.82,58.0,1,250,4
1898,Location 1898,16,1,28.97,92.2,4,1,339.32,75.4,2,482,2
1899,Location 1899,6,2,24.46,82.2,7,4,25.74,50.0,2,331,5
1900,Location 1900,19,3,43.24,32.5,3,5,75.37,65.7,3,587,5
1901,Location 1901,7,5,6.16,70.3,6,4,346.32,71.2,3,201,6
1902,Location 1902,10,3,28.14,85.1,3,4,114.06,53.3,2,454,5
1903,Location 1903,9,3,26.14,31.2,3,5,430.22,95.0,3,504,1
1904,Location 1904,2,5,14.79,68.5,7,5,38.71,50.0,3,546,5
1905,Location 1905,15,5,41.29,90.0,1,4,115.59,50.0,2,111,5
1906,Location 1906,5,4,37.89,63.2,7,3,499.29,92.2,3,544,2
1907,Location 1907,22,4,36.91,30.3,1,5,222.21,77.4,3,209,3
1908,Location 1908,4,3,43.93,30.8,1,1,354.45,95.0,1,644,4
1909,Location 1909,20,3,36.42,59.2,1,2,99.5,61.7,3,618,2
1910,Location 1910,4,1,12.36,40.9,5,3,308.84,86.8,1,33,2
1911,Location 1911,18,1,35.57,76.5,2,5,365.79,85.3,2,555,2
1912,Location 1912,4,4,16.08,79.6,7,5,164.09,59.5,1,107,4
1913,Location 1913,17,4,12.87,42.5,5,3,416.16,92.5,2,265,6
1914,Location 1914,12,1,4.58,92.2,3,2,305.67,72.6,1,226,2
1915,Location 1915,22,1,37.46,60.9,5,4,200.67,75.6,1,487,3
1916,Location 1916,17,2,35.84,40.0,4,1,283.24,82.8,1,179,6
1917,Location 1917,10,2,12.49,83.5,6,5,292.61,60.8,3,222,5
1918,Location 1918,22,1,37.72,85.3,1,2,91.11,51.9,3,370,3
1919,Location 1919,1,2,45.97,74.8,7,1,207.34,59.4,3,637,6
1920,Location 1920,22,5,6.29,89.7,4,3,178.28,53.8,3,167,5
1921,Location 1921,26,4,12.4,81.6,7,5,206.44,60.8,3,663,5
1922,Location 1922,24,4,37.76,91.8,6,4,382.94,82.5,1,553,2
1923,Location 1923,18,1,14.45,60.4,4,3,246.44,73.3,3,300,2
1924,Location 1924,18,3,31.61,82.3,7,5,470.75,86.8,2,381,4
1925,Location 1925,14,1,4.98,100.0,3,2,153.9,55.7,1,35,1
1926,Location 1926,15,2,23.16,80.7,1,1,213.69,68.0,1,407,3
1927,Location 1927,12,3,37.22,38.0,4,1,395.61,95.0,2,502,4
1928,Location 1928,4,2,34.64,66.3,3,5,277.55,75.7,3,314,4
1929,Location 1929,3,5,40.94,71.1,1,3,278.04,69.3,2,101,3
1930,Location 1930,20,2,44.0,42.2,2,4,36.14,60.0,1,569,6
1931,Location 1931,12,5,38.89,97.4,3,2,205.31,61.7,1,215,3
1932,Location 1932,7,5,33.91,42.3,5,5,142.66,81.2,1,668,5
1933,Location 1933,11,2,2.55,42.4,7,2,499.67,95.0,2,576,1
1934,Location 1934,1,2,27.21,94.1,1,1,161.09,50.0,3,62,6
1935,Location 1935,6,5,2.85,62.6,4,4,443.4,94.8,1,369,2
1936,Location 1936,15,3,40.6,34.4,6,2,341.35,80.4,3,368,1
1937,Location 1937,15,5,16.72,71.9,4,5,177.05,69.6,1,574,1
1938,Location 1938,19,4,28.56,72.1,5,4,276.33,70.8,3,94,2
1939,Location 1939,11,5,14.69,34.5,7,3,421.86,95.0,2,469,1
1940,Location 1940,26,3,39.34,98.1,5,5,442.85,77.7,1,26,6
1941,Location 1941,23,4,44.44,68.1,4,2,88.59,58.5,1,435,6
1942,Location 1942,26,1,20.53,69.2,7,4,176.39,58.8,1,121,6
1943,Location 1943,2,1,43.28,66.4,6,5,174.26,55.4,2,50,4
1944,Location 1944,14,3,14.09,72.8,1,4,30.6,50.0,2,36,4
1945,Location 1945,2,5,27.2,48.5,7,4,303.14,76.5,3,410,6
1946,Location 1946,4,2,43.08,50.1,3,4,428.86,92.8,2,289,2
1947,Location 1947,17,3,16.97,65.8,7,2,196.97,68.3,1,379,2
1948,Location 1948,3,4,47.75,86.5,5,5,372.62,71.6,3,100,3
1949,Location 1949,13,4,6.97,33.5,5,1,317.57,93.9,2,324,3
1950,Location 1950,9,1,1.9,72.2,5,1,194.07,64.5,3,329,6
1951,Location 1951,7,4,45.3,86.5,6,2,79.12,50.0,3,648,1
1952,Location 1952,15,3,4.36,41.0,7,2,357.57,80.9,3,221,1
1953,Location 1953,23,4,49.6,31.1,7,4,428.74,95.0,1,567,2
1954,Location 1954,11,3,47.62,51.9,2,5,346.07,82.2,1,110,1
1955,Location 1955,20,2,7.71,71.2,6,5,18.76,50.0,2,149,5
1956,Location 1956,2,1,27.34,39.7,1,3,115.95,72.8,1,406,4
1957,Location 1957,15,4,10.06,59.8,1,3,44.05,57.2,3,674,1
1958,Location 1958,14,3,21.98,68.7,1,1,289.49,81.6,3,699,1
1959,Location 1959,20,5,4.01,71.9,1,3,380.67,85.9,1,410,3
1960,Location 1960,22,1,11.97,49.2,1,3,64.18,54.3,3,129,5
1961,Location 1961,11,2,18.8,58.0,4,1,420.79,95.0,1,484,1
1962,Location 1962,3,3,22.49,84.5,5,1,282.2,67.0,3,108,4
1963,Location 1963,17,2,48.9,95.9,6,3,348.08,67.8,2,389,1
1964,Location 1964,12,2,40.59,90.3,4,5,485.99,86.6,2,425,2
1965,Location 1965,24,4,37.13,69.5,6,3,51.0,54.9,1,447,5
1966,Location 1966,21,4,27.32,58.7,2,4,451.6,92.3,1,68,1
1967,Location 1967,15,3,42.16,53.3,7,4,71.79,50.0,1,66,5
1968,Location 1968,16,5,17.63,38.7,3,4,202.55,83.6,1,656,1
1969,Location 1969,5,3,35.74,37.5,5,2,427.2,95.0,1,565,4
1970,Location 1970,20,5,49.7,78.2,2,4,454.06,86.2,3,640,4
1971,Location 1971,6,2,16.42,48.2,4,5,258.12,78.8,2,504,5
1972,Location 1972,19,1,34.03,47.8,3,2,301.11,83.8,3,504,6
1973,Location 1973,25,3,42.37,99.9,7,2,356.99,64.5,2,321,3
1974,Location 1974,5,3,45.87,43.2,2,4,418.05,92.0,3,580,3
1975,Location 1975,3,5,36.18,40.4,7,3,69.54,60.9,3,447,2
1976,Location 1976,1,2,14.9,36.9,7,1,406.93,90.7,3,574,6
1977,Location 1977,26,2,16.99,70.6,6,3,245.83,68.0,1,210,3
1978,Location 1978,6,5,2.02,74.0,3,3,230.81,67.0,2,370,5
1979,Location 1979,15,2,38.28,55.6,6,2,217.71,73.8,1,564,3
1980,Location 1980,2,4,3.09,67.5,7,2,259.51,77.2,1,628,2
1981,Location 1981,3,1,43.37,85.2,2,2,473.07,86.3,3,458,1
1982,Location 1982,17,3,6.81,87.3,7,5,278.62,69.5,2,577,3
1983,Location 1983,25,1,9.42,97.1,4,5,477.06,85.9,2,642,5
1984,Location 1984,24,3,24.35,87.7,7,1,98.34,54.5,2,689,5
1985,Location 1985,12,4,37.16,69.5,6,2,364.83,76.6,2,163,2
1986,Location 1986,18,2,7.81,42.6,3,4,408.0,95.0,1,332,2
1987,Location 1987,15,5,22.56,37.0,2,2,342.77,95.0,1,664,4
1988,Location 1988,12,4,24.66,33.8,6,5,307.39,84.2,2,350,4
1989,Location 1989,16,1,11.4,76.7,7,2,286.76,76.6,1,670,4
1990,Location 1990,8,5,6.66,86.5,4,5,431.86,87.3,2,468,1
1991,Location 1991,14,2,41.98,65.6,5,2,412.61,89.9,1,426,5
1992,Location 1992,25,4,25.62,33.8,4,4,69.92,67.1,3,327,4
1993,Location 1993,17,5,1.7,67.5,7,1,425.81,78.0,3,106,5
1994,Location 1994,21,4,40.35,95.5,4,4,212.89,56.6,2,255,2
1995,Location 1995,8,4,49.06,71.8,5,5,134.31,59.6,2,358,1
1996,Location 1996,15,2,30.69,86.7,4,3,436.19,87.3,1,444,2
1997,Location 1997,14,3,25.68,86.0,5,4,221.69,62.0,2,113,5
1998,Location 1998,18,5,44.04,95.2,7,2,406.1,67.2,2,30,6
1999,Location 1999,20,2,47.67,83.9,5,1,139.07,56.9,1,524,6
2000,Location 2000,7,4,37.97,82.3,6,2,11.93,50.0,2,689,4
